2015-12-31T18:24:05.574+0200 W -        [initandlisten] Detected unclean shutdown - C:\Users\baris\Desktop\swe573\swe573\mongodb\data\mongod.lock is not empty.
2015-12-31T18:24:05.590+0200 I JOURNAL  [initandlisten] journal dir=C:\Users\baris\Desktop\swe573\swe573\mongodb\data\journal
2015-12-31T18:24:05.590+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:24:05.590+0200 I JOURNAL  [initandlisten] recover begin
2015-12-31T18:24:05.591+0200 I JOURNAL  [initandlisten] recover lsn: 0
2015-12-31T18:24:05.591+0200 I JOURNAL  [initandlisten] recover C:\Users\baris\Desktop\swe573\swe573\mongodb\data\journal\j._0
2015-12-31T18:24:05.606+0200 I JOURNAL  [initandlisten] recover cleaning up
2015-12-31T18:24:05.606+0200 I JOURNAL  [initandlisten] removeJournalFiles
2015-12-31T18:24:05.608+0200 I JOURNAL  [initandlisten] recover done
2015-12-31T18:24:05.618+0200 I JOURNAL  [durability] Durability thread started
2015-12-31T18:24:05.619+0200 I JOURNAL  [journal writer] Journal writer thread started
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] MongoDB starting : pid=6984 port=27017 dbpath=C:\Users\baris\Desktop\swe573\swe573\mongodb\data 64-bit host=vaio
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] db version v3.0.7
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] git version: 6ce7cbe8c6b899552dadd907604559806aa2e9bd
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] allocator: tcmalloc
2015-12-31T18:24:05.636+0200 I CONTROL  [initandlisten] options: { config: "C:\Users\baris\Desktop\swe573\swe573\mongodb\mongo.config", diaglog: 3, storage: { dbPath: "C:\Users\baris\Desktop\swe573\swe573\mongodb\data" }, systemLog: { destination: "file", path: "C:\Users\baris\Desktop\swe573\swe573\mongodb\log\mongo.log" } }
2015-12-31T18:24:07.360+0200 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-12-31T18:24:07.535+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60329 #1 (1 connection now open)
2015-12-31T18:24:18.879+0200 I NETWORK  [conn1] end connection 127.0.0.1:60329 (0 connections now open)
2015-12-31T18:24:39.372+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60362 #2 (1 connection now open)
2015-12-31T18:24:39.437+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60364 #3 (2 connections now open)
2015-12-31T18:24:58.566+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60391 #4 (3 connections now open)
2015-12-31T18:24:58.570+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60392 #5 (4 connections now open)
2015-12-31T18:25:05.597+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:26:05.595+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:26:34.351+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60502 #6 (5 connections now open)
2015-12-31T18:26:34.354+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60503 #7 (6 connections now open)
2015-12-31T18:27:05.605+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:27:10.575+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60541 #8 (7 connections now open)
2015-12-31T18:28:05.601+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:28:35.554+0200 I NETWORK  [conn5] end connection 127.0.0.1:60392 (6 connections now open)
2015-12-31T18:28:35.554+0200 I NETWORK  [conn2] end connection 127.0.0.1:60362 (6 connections now open)
2015-12-31T18:28:35.554+0200 I NETWORK  [conn3] end connection 127.0.0.1:60364 (6 connections now open)
2015-12-31T18:28:35.554+0200 I NETWORK  [conn4] end connection 127.0.0.1:60391 (4 connections now open)
2015-12-31T18:28:35.555+0200 I NETWORK  [conn6] end connection 127.0.0.1:60502 (2 connections now open)
2015-12-31T18:28:35.555+0200 I NETWORK  [conn7] end connection 127.0.0.1:60503 (2 connections now open)
2015-12-31T18:28:35.555+0200 I NETWORK  [conn8] end connection 127.0.0.1:60541 (2 connections now open)
2015-12-31T18:29:05.600+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:29:16.378+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60673 #9 (1 connection now open)
2015-12-31T18:30:05.643+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:30:42.382+0200 I NETWORK  [conn9] end connection 127.0.0.1:60673 (0 connections now open)
2015-12-31T18:30:55.108+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60785 #10 (1 connection now open)
2015-12-31T18:31:05.630+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:31:11.565+0200 I NETWORK  [conn10] end connection 127.0.0.1:60785 (0 connections now open)
2015-12-31T18:31:27.432+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60824 #11 (1 connection now open)
2015-12-31T18:31:39.029+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60836 #12 (2 connections now open)
2015-12-31T18:32:04.425+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60862 #13 (3 connections now open)
2015-12-31T18:32:04.441+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60863 #14 (4 connections now open)
2015-12-31T18:32:05.628+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:32:16.416+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60877 #15 (5 connections now open)
2015-12-31T18:32:16.432+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60878 #16 (6 connections now open)
2015-12-31T18:32:24.025+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60887 #17 (7 connections now open)
2015-12-31T18:32:24.042+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60888 #18 (8 connections now open)
2015-12-31T18:32:26.480+0200 I NETWORK  [conn16] end connection 127.0.0.1:60878 (7 connections now open)
2015-12-31T18:32:26.481+0200 I NETWORK  [conn15] end connection 127.0.0.1:60877 (6 connections now open)
2015-12-31T18:32:28.689+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60894 #19 (7 connections now open)
2015-12-31T18:32:28.708+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60895 #20 (8 connections now open)
2015-12-31T18:32:30.349+0200 I NETWORK  [conn20] end connection 127.0.0.1:60895 (7 connections now open)
2015-12-31T18:32:30.350+0200 I NETWORK  [conn19] end connection 127.0.0.1:60894 (6 connections now open)
2015-12-31T18:33:05.624+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:34:05.621+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:35:05.738+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:36:05.641+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:37:05.640+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:38:05.636+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:39:05.626+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:40:05.642+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:41:05.630+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:42:05.633+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:43:05.634+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:44:05.639+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:45:05.640+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:46:05.635+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:47:05.639+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:48:05.641+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:49:05.644+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:50:05.643+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:51:05.645+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:52:05.645+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:53:05.659+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:54:05.682+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:55:05.669+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T18:56:05.671+0200 I COMMAND  [DataFileSync] flushing diag log
